words,acc,f1,0_f1,1_f1,2_f1,3_f1,4_f1
初始,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
import,0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
model,0.866666667,0.867590974,0.827586207,0.857142857,0.75,1,0.903225806
loss,0.853333333,0.853615128,0.827586207,0.827586207,0.709677419,1,0.903225806
dense,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
file,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
epoch,0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
line,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
error,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
input,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
accuracy,0.826666667,0.828264209,0.714285714,0.857142857,0.666666667,1,0.903225806
print,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
keras,0.826666667,0.828264209,0.714285714,0.857142857,0.666666667,1,0.903225806
tensorflow,0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
data,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
gpu,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
shape,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
self,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
tensor,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
activation,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
dataset,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
code,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
output,0.84,0.840245776,0.774193548,0.857142857,0.666666667,1,0.903225806
def,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
training,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
layer,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
return,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
using,0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
train,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
sequential,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
image,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
none,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
network,0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
device,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
dropout,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
use,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
get,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
following,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
size,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
images,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
valueerror,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
acc,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
function,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
pytorch,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
cuda,0.826666667,0.828775311,0.8,0.857142857,0.709677419,0.928571429,0.848484848
tried,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
trying,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
array,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
lstm,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
name,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
labels,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
batch,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
got,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
inputs,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
problem,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
like,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
relu,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
module,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
numpy,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
range,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
neural,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
predictions,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
run,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
target,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
len,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
layers,0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
call,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
python,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
