words,acc,f1,0_f1,1_f1,2_f1,3_f1,4_f1
初始,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"code,accuracy",0.813333333,0.814818831,0.666666667,0.857142857,0.647058824,1,0.903225806
"data,accuracy",0.813333333,0.814818831,0.666666667,0.857142857,0.647058824,1,0.903225806
"dataset,accuracy",0.826666667,0.828264209,0.714285714,0.857142857,0.666666667,1,0.903225806
"accuracy,dense",0.826666667,0.828264209,0.714285714,0.857142857,0.666666667,1,0.903225806
"epoch,accuracy",0.826666667,0.828264209,0.714285714,0.857142857,0.666666667,1,0.903225806
"accuracy,import",0.813333333,0.814035706,0.692307692,0.827586207,0.647058824,1,0.903225806
"keras,accuracy",0.813333333,0.814818831,0.666666667,0.857142857,0.647058824,1,0.903225806
"accuracy,loss",0.813333333,0.812858938,0.740740741,0.827586207,0.625,0.967741935,0.903225806
"accuracy,model",0.84,0.83856658,0.692307692,0.857142857,0.705882353,1,0.9375
"accuracy,output",0.813333333,0.814818831,0.666666667,0.857142857,0.647058824,1,0.903225806
"accuracy,print",0.826666667,0.828264209,0.714285714,0.857142857,0.666666667,1,0.903225806
"accuracy,sequential",0.826666667,0.828264209,0.714285714,0.857142857,0.666666667,1,0.903225806
"accuracy,train",0.826666667,0.828264209,0.714285714,0.857142857,0.666666667,1,0.903225806
"training,accuracy",0.813333333,0.814818831,0.666666667,0.857142857,0.647058824,1,0.903225806
"accuracy,x",0.826666667,0.825595238,0.666666667,0.857142857,0.666666667,1,0.9375
"activation,code",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
"activation,dense",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
"activation,import",0.8,0.798056926,0.64,0.8,0.647058824,1,0.903225806
"keras,activation",0.813333333,0.814818831,0.666666667,0.857142857,0.647058824,1,0.903225806
"activation,loss",0.826666667,0.825885905,0.785714286,0.827586207,0.64516129,0.967741935,0.903225806
"activation,model",0.84,0.836933325,0.692307692,0.827586207,0.727272727,1,0.9375
"activation,sequential",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
"also,code",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
"also,error",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"also,import",0.813333333,0.814035706,0.692307692,0.827586207,0.647058824,1,0.903225806
"also,model",0.84,0.83866539,0.740740741,0.827586207,0.6875,1,0.9375
"array,model",0.853333333,0.852531265,0.740740741,0.857142857,0.727272727,1,0.9375
"batch,model",0.853333333,0.852531265,0.740740741,0.857142857,0.727272727,1,0.9375
"call,code",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
"data,call",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
"call,def",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"call,error",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"call,file",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"call,import",0.813333333,0.814035706,0.692307692,0.827586207,0.647058824,1,0.903225806
"call,input",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"call,last",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"call,line",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"call,model",0.853333333,0.852531265,0.740740741,0.857142857,0.727272727,1,0.9375
"call,module",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"call,print",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"call,recent",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"call,return",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"call,self",0.866666667,0.865595238,0.8,0.857142857,0.733333333,1,0.9375
"call,traceback",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"using,call",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
"call,x",0.866666667,0.865595238,0.8,0.857142857,0.733333333,1,0.9375
"code,class",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
"def,class",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"error,class",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"class,model",0.853333333,0.852531265,0.740740741,0.857142857,0.727272727,1,0.9375
"print,class",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"return,class",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"self,class",0.866666667,0.865595238,0.8,0.857142857,0.733333333,1,0.9375
"x,class",0.866666667,0.865595238,0.8,0.857142857,0.733333333,1,0.9375
"classes,model",0.84,0.839285714,0.714285714,0.857142857,0.6875,1,0.9375
"could,code",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
"code,create",0.826666667,0.828264209,0.714285714,0.857142857,0.666666667,1,0.903225806
"data,code",0.826666667,0.828264209,0.714285714,0.857142857,0.666666667,1,0.903225806
"dataset,code",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
"code,def",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
"code,dense",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
"code,dropout",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
"code,else",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
"code,epoch",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
"error,code",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
"code,example",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
"code,file",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
"code,first",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
"code,following",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
"code,function",0.826666667,0.829326765,0.785714286,0.827586207,0.666666667,1,0.866666667
"get,code",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
