True,pred,prob_0,prob_1,prob_2,prob_3,prob_4
1,1,0.034807187,0.88722825,0.04120245,0.012106235,0.024655849
3,3,0.005500993,0.00933552,0.0086740125,0.96670926,0.009780233
3,3,0.0057164594,0.012199748,0.0087419925,0.9605423,0.012799495
1,3,0.0069433893,0.025774145,0.014213606,0.91053915,0.04252965
0,2,0.38952127,0.015345234,0.5699558,0.01241401,0.012763657
0,0,0.763309,0.01069733,0.20358305,0.011289488,0.01112104
3,3,0.005970132,0.013318587,0.009067723,0.9605634,0.011080151
4,4,0.00681748,0.020015296,0.014604773,0.012200505,0.94636184
1,4,0.013612322,0.31812665,0.041205857,0.02346751,0.6035876
0,0,0.7448976,0.020051755,0.21593703,0.009123287,0.009990306
4,4,0.015975919,0.24392952,0.057841234,0.017372029,0.66488135
2,0,0.61739117,0.011132532,0.35019812,0.011806525,0.009471707
0,0,0.7704459,0.011690361,0.1972912,0.0096371295,0.010935325
1,1,0.0103453025,0.50565994,0.054225918,0.014186953,0.4155819
4,4,0.010293888,0.021783538,0.017813541,0.017029699,0.9330793
4,4,0.008929491,0.1498404,0.03612543,0.013695544,0.7914091
2,0,0.63473636,0.012994273,0.3303025,0.011778393,0.010188424
1,1,0.009060435,0.93701845,0.018291567,0.011391486,0.024238069
2,0,0.73348266,0.013151591,0.23281586,0.01164773,0.00890211
1,1,0.007880426,0.896643,0.027090285,0.011911464,0.056474745
4,4,0.010238013,0.21502192,0.03256122,0.032609146,0.7095697
2,2,0.21394481,0.36354142,0.38400766,0.02125156,0.017254513
4,4,0.0066190152,0.023235142,0.013373177,0.011617177,0.94515556
0,0,0.52772874,0.01779233,0.4322371,0.009607561,0.012634244
2,2,0.25149328,0.018420551,0.6818849,0.033674087,0.014527197
0,0,0.6958039,0.010905394,0.27340192,0.009888952,0.009999842
2,2,0.3346432,0.030494561,0.5987543,0.016026774,0.02008116
3,3,0.0066283015,0.01519427,0.010968112,0.9523955,0.014813765
2,2,0.3010212,0.015663302,0.64175117,0.019270563,0.02229375
0,0,0.6113298,0.018537339,0.3454658,0.013829558,0.010837572
4,4,0.008583779,0.018558446,0.016049586,0.012474364,0.94433385
3,3,0.0053690453,0.009505953,0.008717709,0.96724933,0.009157938
3,3,0.005336263,0.014518033,0.00937006,0.9535684,0.017207237
3,3,0.010953918,0.05238512,0.024335692,0.85191154,0.060413722
3,3,0.0055559445,0.010698543,0.010941468,0.9647523,0.008051756
2,2,0.18013476,0.015407306,0.75294274,0.0353962,0.016119048
3,3,0.008898959,0.012265565,0.014874241,0.94854045,0.015420781
3,3,0.010737623,0.014649603,0.021123772,0.93716866,0.016320297
3,3,0.0050510596,0.010464677,0.007676351,0.96502584,0.011782034
1,1,0.011737535,0.94571924,0.01691653,0.010901461,0.014725234
3,3,0.0059452057,0.009800972,0.009341479,0.9676064,0.007305841
2,4,0.007432745,0.021248274,0.03165154,0.009846631,0.9298209
2,2,0.116637364,0.037051324,0.7645091,0.02398207,0.057820193
4,4,0.010789006,0.4258525,0.07264733,0.017574921,0.47313628
1,1,0.009829646,0.94814557,0.016343122,0.010699663,0.014981981
0,2,0.28784972,0.021820165,0.66368914,0.0142884,0.012352565
1,1,0.056498703,0.75409126,0.11734827,0.022758601,0.049303122
3,3,0.03784081,0.028465178,0.077460825,0.80631924,0.049913906
2,4,0.008203759,0.017558232,0.021549402,0.01302116,0.9396674
0,2,0.23764853,0.052643772,0.6342627,0.018887786,0.056557287
4,4,0.007752247,0.015118261,0.013878504,0.014516161,0.9487348
1,1,0.017789744,0.7624752,0.09812215,0.050393887,0.07121904
0,1,0.014396792,0.80009073,0.04831286,0.019393705,0.11780592
3,3,0.006201717,0.012251463,0.011172321,0.9596431,0.010731372
0,0,0.6008445,0.013121933,0.36171553,0.013105568,0.011212388
1,1,0.05959624,0.8700065,0.042598102,0.011903407,0.015895694
2,2,0.440106,0.042959817,0.48087636,0.008552639,0.027505187
0,0,0.5323458,0.022220092,0.42366338,0.009928055,0.01184272
0,0,0.50741065,0.06070067,0.40259337,0.015066191,0.014229067
1,1,0.042083357,0.6903179,0.18361273,0.014327044,0.06965899
1,1,0.008938908,0.94387716,0.017130947,0.012468015,0.017585056
2,0,0.7394981,0.010774696,0.22790305,0.010445306,0.011378882
0,0,0.6778169,0.015700085,0.28714627,0.009513787,0.00982297
4,4,0.0075433794,0.01704803,0.015239876,0.013434742,0.94673395
2,2,0.44715545,0.013357576,0.5155805,0.014491155,0.00941538
1,1,0.010742749,0.9252134,0.020014353,0.022902766,0.021126807
4,4,0.044841997,0.045602195,0.17187633,0.09088362,0.6467958
4,4,0.017271431,0.038749065,0.08148695,0.026966356,0.8355261
0,0,0.7108649,0.024634104,0.24677023,0.007968047,0.009762767
4,3,0.01400983,0.02861575,0.030161379,0.89650124,0.03071178
2,0,0.6015549,0.028084798,0.34624198,0.011541401,0.012576994
1,1,0.012674951,0.84915304,0.03223722,0.01591837,0.090016454
4,4,0.0067667,0.016682632,0.012937458,0.011508915,0.9521043
3,4,0.011482013,0.07286443,0.1039431,0.07857624,0.7331342
4,4,0.007414199,0.019806959,0.01662051,0.013078827,0.9430795
