True,pred,prob_0,prob_1,prob_2,prob_3,prob_4
3,3,0.0093139475,0.00922503,0.013776599,0.9586839,0.009000532
1,2,0.33676332,0.03387651,0.58405846,0.011827205,0.033474557
0,0,0.5456488,0.00911047,0.4214273,0.012378221,0.011435201
2,2,0.09491356,0.03577935,0.7694452,0.05163784,0.048224058
2,0,0.5525032,0.033866994,0.34235686,0.020937612,0.050335262
4,4,0.012839789,0.011255157,0.01707404,0.018522508,0.9403085
0,0,0.6401942,0.009838259,0.3276993,0.008640896,0.013627408
4,4,0.020052737,0.09244706,0.031698897,0.023640037,0.83216125
2,2,0.36162624,0.012408901,0.5981825,0.012394128,0.015388269
3,3,0.010048203,0.009238106,0.015729602,0.9543344,0.010649669
2,0,0.7370205,0.01140971,0.23244372,0.008531969,0.010594093
0,0,0.74498254,0.010488355,0.22538158,0.008744651,0.010402897
4,4,0.01126746,0.037557054,0.014938516,0.011406455,0.92483044
3,3,0.15015902,0.048164718,0.37335712,0.3930742,0.035244886
1,1,0.010681658,0.942935,0.023585035,0.01117357,0.0116247805
0,0,0.58957857,0.008972829,0.3766654,0.011495853,0.0132873235
1,1,0.009095325,0.9458571,0.014691316,0.014521181,0.01583511
0,0,0.59505606,0.0139085855,0.36695975,0.009992693,0.014082973
2,2,0.3621595,0.013345607,0.59104174,0.01914512,0.01430802
2,0,0.6665647,0.00942451,0.30258113,0.009989206,0.011440541
4,4,0.019011166,0.024267761,0.020202488,0.011663743,0.92485493
1,1,0.010041605,0.9472801,0.017024435,0.009491415,0.016162418
4,4,0.014875989,0.09403417,0.017284324,0.016046392,0.85775924
4,1,0.006839221,0.7624444,0.013334097,0.012544127,0.20483822
2,0,0.6117092,0.040674612,0.32105786,0.011932749,0.014625681
1,1,0.30109572,0.34777728,0.29681066,0.014977591,0.039338704
4,4,0.021689355,0.038890675,0.025661243,0.02432816,0.88943064
0,0,0.51688355,0.009536322,0.45105213,0.010860795,0.011667167
1,1,0.014146304,0.9258463,0.030865936,0.009328777,0.019812707
1,1,0.015743418,0.9331248,0.026518362,0.012100321,0.012513054
4,4,0.013032681,0.025694177,0.038874,0.016056957,0.90634215
3,3,0.008445185,0.008639721,0.015178937,0.95774007,0.009996078
1,2,0.449358,0.029973514,0.48255968,0.014281621,0.023827164
1,1,0.006093324,0.8921391,0.012119455,0.015203088,0.07444499
4,4,0.034484584,0.14112732,0.038867872,0.026477458,0.7590428
3,3,0.011886934,0.05004808,0.022288619,0.8869995,0.028776903
2,4,0.02588422,0.072969966,0.17087282,0.03711403,0.6931589
0,2,0.42720526,0.007866037,0.54068726,0.012318466,0.011922976
3,3,0.0089230165,0.00767947,0.013698572,0.96208483,0.0076141143
2,2,0.4145322,0.007838586,0.5515674,0.01220437,0.013857445
2,0,0.7253831,0.009091082,0.24208732,0.009999338,0.013439183
3,3,0.007664634,0.0077874097,0.012533345,0.962885,0.009129566
4,4,0.0654308,0.08854615,0.22831847,0.060428273,0.5572763
4,4,0.013724756,0.01774214,0.029658409,0.022165535,0.9167092
0,0,0.5997581,0.021160306,0.35351133,0.011032201,0.014538116
3,3,0.007978301,0.030634928,0.021586845,0.9136217,0.026178146
1,1,0.007873805,0.95229083,0.01597239,0.009105143,0.0147578865
3,3,0.008156356,0.012582206,0.01277431,0.9545201,0.011967102
2,0,0.5699147,0.012630466,0.39511135,0.01068045,0.011663011
0,0,0.65668833,0.007995072,0.31361252,0.010521904,0.011182171
1,1,0.005010124,0.93852264,0.020055834,0.011159329,0.025252141
1,1,0.017698534,0.9328501,0.0285215,0.009794705,0.011135193
0,2,0.3712897,0.0068990504,0.5976635,0.014061953,0.010085755
0,0,0.706735,0.00946871,0.25744966,0.01177206,0.014574588
0,0,0.61161786,0.009414051,0.35280704,0.010303148,0.015857868
2,0,0.5192929,0.015211875,0.44216138,0.011370845,0.011962989
3,3,0.006962645,0.010073521,0.0117812455,0.9503117,0.020870863
2,1,0.16102077,0.5850587,0.22270545,0.013744434,0.017470673
1,2,0.32217273,0.02320045,0.630162,0.010708084,0.013756725
4,4,0.0118616205,0.016209953,0.01516467,0.016729655,0.94003415
4,1,0.018362535,0.82356215,0.06815487,0.032618552,0.05730188
2,1,0.05045683,0.43829304,0.15480104,0.050444428,0.3060047
0,0,0.71876484,0.011149606,0.24997982,0.0092221545,0.0108835595
0,0,0.63874817,0.013142997,0.31614515,0.010529439,0.021434268
4,4,0.010363241,0.014754371,0.013659539,0.014976061,0.94624674
2,2,0.17203644,0.024482733,0.74094516,0.03104052,0.03149509
3,3,0.009066037,0.008137162,0.013887059,0.96078753,0.008122238
3,3,0.008481906,0.009253411,0.019979699,0.94970745,0.012577549
4,4,0.014073513,0.020487562,0.023999741,0.020111255,0.9213278
3,3,0.0076215994,0.007996746,0.011720283,0.96523273,0.007428662
1,1,0.006152751,0.93102545,0.012872305,0.014582476,0.035367105
1,3,0.010746301,0.15124676,0.0253186,0.4265588,0.38612953
3,4,0.02147749,0.09009034,0.049165674,0.04612644,0.79314005
3,3,0.00877088,0.008220953,0.012646817,0.9622159,0.00814546
0,0,0.64992887,0.010138901,0.3174892,0.010433455,0.012009486
