True,LR,LR_prob_0,LR_prob_1,LR_prob_2,LR_prob_3,LR_prob_4,DT,DT_prob_0,DT_prob_1,DT_prob_2,DT_prob_3,DT_prob_4,RF,RF_prob_0,RF_prob_1,RF_prob_2,RF_prob_3,RF_prob_4,SVM,SVM_prob_0,SVM_prob_1,SVM_prob_2,SVM_prob_3,SVM_prob_4,KNN,KNN_prob_0,KNN_prob_1,KNN_prob_2,KNN_prob_3,KNN_prob_4
3,3,0.09186676669330388,0.10880709280479758,0.12079888370851234,0.4599805076286265,0.21854674916475975,3,0.0,0.0,0.0,1.0,0.0,3,0.06,0.08,0.07,0.48,0.31,3,0.007326979538177426,0.01488821073243675,0.019093217363618784,0.8302055105704851,0.12848608179528176,3,0.0,0.0,0.0,1.0,0.0
0,0,0.5173988433945605,0.1024783850282725,0.1989794894817089,0.06037997444988484,0.1207633076455731,2,0.0,0.0,1.0,0.0,0.0,0,0.56,0.11,0.24,0.02,0.07,0,0.7483324664242084,0.011791224416897783,0.23160427019810934,0.0005978143001476543,0.0076742246606371035,0,0.4,0.2,0.4,0.0,0.0
2,2,0.30078065139453874,0.1212720627032201,0.31637886843103935,0.09657142943837821,0.16499698803282356,0,1.0,0.0,0.0,0.0,0.0,0,0.48,0.04,0.36,0.01,0.11,0,0.4543407767947941,0.029129516144525597,0.4570488818969867,0.0036858450451762435,0.05579498011851722,0,0.6,0.0,0.4,0.0,0.0
3,3,0.13021769991254234,0.09954351687084287,0.1395931234396559,0.4716435203063594,0.15900213947059952,3,0.0,0.0,0.0,1.0,0.0,3,0.1,0.01,0.12,0.55,0.22,3,0.01153418798503131,0.005023265028558013,0.010958138004481336,0.9500867381213021,0.02239767086062736,3,0.0,0.0,0.0,1.0,0.0
4,4,0.17056286285267044,0.12626748325611298,0.16251846744893206,0.1171832256584994,0.42346796078378507,4,0.0,0.0,0.0,0.0,1.0,4,0.14,0.17,0.11,0.05,0.53,4,0.04954130095847911,0.019710242480492943,0.08178969306751771,0.008960749927263945,0.8399980135662465,4,0.2,0.2,0.2,0.0,0.4
4,4,0.15112424331940605,0.16133667992895123,0.16912145109753254,0.2501269170972602,0.2682907085568501,4,0.0,0.0,0.0,0.0,1.0,4,0.03,0.1,0.1,0.31,0.46,4,0.06253766517144699,0.07132470504118689,0.14590421953808222,0.29922818349775215,0.4210052267515312,3,0.2,0.0,0.0,0.6,0.2
3,1,0.11858446584823433,0.26700575425770595,0.11636672337986612,0.2585061822512956,0.239536874262898,1,0.0,1.0,0.0,0.0,0.0,1,0.02,0.38,0.02,0.31,0.27,1,0.011781976503452418,0.48945661480497726,0.026042867642122554,0.2829961572836335,0.18972238376581413,1,0.2,0.8,0.0,0.0,0.0
1,1,0.10468656436055773,0.3369438867821863,0.22628201542761445,0.13794951314892412,0.19413802028071753,1,0.0,1.0,0.0,0.0,0.0,1,0.01,0.47,0.22,0.14,0.16,1,0.026698143568564963,0.6254337022571488,0.2520593312636344,0.012319796340731373,0.08348902656992035,1,0.0,0.8,0.2,0.0,0.0
3,3,0.024442418740085934,0.027771896684682662,0.03018881533343744,0.8764345981875075,0.04116227105428642,3,0.0,0.0,0.0,1.0,0.0,3,0.01,0.03,0.03,0.87,0.06,3,6.643779806929228e-10,7.404234257074644e-10,7.602464295684907e-10,0.9999826598485558,1.733798639633886e-05,3,0.0,0.0,0.0,1.0,0.0
1,1,0.09457439279410612,0.3968369685463641,0.10324035541219942,0.15062542661417083,0.2547228566331595,1,0.0,1.0,0.0,0.0,0.0,1,0.09,0.4,0.1,0.12,0.29,1,0.009523153846317049,0.7426250684978466,0.02475370821559798,0.03613380131117649,0.18696426812906217,1,0.0,0.6,0.0,0.2,0.2
0,0,0.4936342117202736,0.03305905786128461,0.4086992696219619,0.025359552731041363,0.03924790806543844,2,0.0,0.0,1.0,0.0,0.0,0,0.54,0.04,0.35,0.02,0.05,0,0.5690543466374769,0.0010371963261912595,0.427919684324587,0.00012070842575222218,0.0018680642859925927,2,0.4,0.0,0.6,0.0,0.0
1,1,0.11994880818001151,0.4438739990649506,0.14835058324516467,0.12031946388917729,0.1675071456206959,1,0.0,1.0,0.0,0.0,0.0,1,0.06,0.62,0.13,0.05,0.14,1,0.01534121964182741,0.9025182154688544,0.037837888344883844,0.008128275222575563,0.03617440132185848,1,0.0,0.8,0.0,0.0,0.2
2,2,0.3589782413709253,0.05882269027038733,0.42350196084372155,0.08144121793651199,0.07725588957845375,2,0.0,0.0,1.0,0.0,0.0,0,0.36,0.02,0.31,0.23,0.08,0,0.4870346148606493,0.0027352906773254505,0.5021225249358225,0.0018239193963307105,0.006283650129872157,0,0.6,0.0,0.4,0.0,0.0
4,1,0.11168282220287205,0.3161282244498533,0.1390342659698022,0.13818148970525887,0.2949731976722135,4,0.0,0.0,0.0,0.0,1.0,1,0.09,0.4,0.07,0.1,0.34,1,0.01695636726820962,0.501321877152655,0.06569819707771832,0.019106610925376438,0.3969169475760408,1,0.0,0.8,0.0,0.0,0.2
2,0,0.6163498284033326,0.06716230260182998,0.1696318629482193,0.04363883694261032,0.10321716910400765,2,0.0,0.0,1.0,0.0,0.0,0,0.6,0.04,0.22,0.02,0.12,0,0.8001896466176366,0.005516905145279795,0.18536257033964484,0.0002579711705820098,0.008672906726856711,0,0.4,0.0,0.4,0.0,0.2
0,2,0.22814018623562557,0.23051655972700802,0.26186659076783153,0.11808962400997448,0.1613870392595603,0,1.0,0.0,0.0,0.0,0.0,1,0.27,0.32,0.29,0.03,0.09,2,0.3385982777118493,0.18069524801483783,0.38467567533728336,0.014506731851285103,0.08152406708474409,2,0.2,0.0,0.8,0.0,0.0
1,1,0.14976435107788272,0.30717787479124375,0.1923750987442605,0.09347191715929465,0.2572107582273183,1,0.0,1.0,0.0,0.0,0.0,1,0.13,0.43,0.16,0.05,0.23,1,0.04560893008200238,0.5109561157226683,0.18256654084484103,0.00957098015504389,0.2512974331954444,1,0.0,0.4,0.4,0.0,0.2
0,0,0.4173770897169958,0.06908803153874452,0.2889611885520159,0.06166334281672996,0.16291034737551371,0,1.0,0.0,0.0,0.0,0.0,0,0.43,0.08,0.43,0.01,0.05,0,0.5930498785901581,0.004483914387324602,0.3650468251412562,0.0007774607937256593,0.03664192108753573,2,0.2,0.0,0.4,0.0,0.4
1,1,0.0389308001137749,0.5295907025727375,0.12076731954899035,0.06752705261448547,0.24318412515001167,1,0.0,1.0,0.0,0.0,0.0,1,0.07,0.48,0.16,0.03,0.26,1,0.0011666465348333219,0.9049000440607725,0.01853562151112038,0.000938047150284772,0.07445964074298886,1,0.0,0.6,0.2,0.0,0.2
