tfidf_LR_train,tfidf_LR_test,tfidf_DT_train,tfidf_DT_test,tfidf_RF_train,tfidf_RF_test,tfidf_SVM_train,tfidf_SVM_test,tfidf_KNN_train,tfidf_KNN_test,embedding
0.12566781,0.001498938,0.04886961,0.0013659,0.229077101,0.00890398,2.912921906,0.15986228,0.002215147,0.020708561,0.904296637
0.116689205,0.001349926,0.046820164,0.001251936,0.223856926,0.00797081,2.864258289,0.161994219,0.001662731,0.012992859,1.704292059
0.065934658,0.001284599,0.046087742,0.001298428,0.223659754,0.007686615,2.857388258,0.160167217,0.00205183,0.021741152,0.94566679
0.137778997,0.001403332,0.0649755,0.001259327,0.225665569,0.007967472,2.856613159,0.158383846,0.001633644,0.021240711,1.011501074
0.072427511,0.001200676,0.048496485,0.001212358,0.227804661,0.008057594,2.866304159,0.157187939,0.001676559,0.021143913,0.942660809
0.121050596,0.001218557,0.051145792,0.001260996,0.232782841,0.008181334,2.877555609,0.15663147,0.001654148,0.021068811,0.909662962
0.067976952,0.001199484,0.047945261,0.001276255,0.225739717,0.007769585,2.883038521,0.157928944,0.001711369,0.021737099,0.938421249
0.117762327,0.001168489,0.048372507,0.001244068,0.230042696,0.00833869,2.864875793,0.158311129,0.001734257,0.047222614,0.957225323
0.070858955,0.00150466,0.049951553,0.001401424,0.228774548,0.00776124,2.86128664,0.159338713,0.001731396,0.021366358,0.875839233
0.113960266,0.001155376,0.054314613,0.00111866,0.229887247,0.007599354,2.856460571,0.155337095,0.001847982,0.034386396,0.861042976
0.068921328,0.001206398,0.055107117,0.001274109,0.228242397,0.007713318,2.846180439,0.155452967,0.001977921,0.037596464,0.862168312
0.12035203,0.001143456,0.054737806,0.00139904,0.234681845,0.0085783,2.884317875,0.154686928,0.001856089,0.038174391,0.867078304
0.079253197,0.001306295,0.062669039,0.001314402,0.255657673,0.007602215,2.880467653,0.156846046,0.001719713,0.021322727,0.8604002
0.113742113,0.001164198,0.047955513,0.001281023,0.229330063,0.007775307,2.900650263,0.159939051,0.002016783,0.02673769,0.872817516
0.073836565,0.001264572,0.049034357,0.001507759,0.239799738,0.008513689,2.914393663,0.163664818,0.002212763,0.022671223,0.855968952
