word2vec_LR_train,word2vec_LR_test,word2vec_DT_train,word2vec_DT_test,word2vec_RF_train,word2vec_RF_test,word2vec_SVM_train,word2vec_SVM_test,word2vec_KNN_train,word2vec_KNN_test,embedding
0.048567772,0.000766993,0.031074286,0.000441313,0.276400566,0.006637812,0.02408123,0.001976967,0.000597477,0.058671951,1.043558836
0.024715185,0.000442982,0.023113012,0.000276327,0.259714127,0.00639534,0.025437117,0.002015829,0.000605106,0.038652658,1.102654934
0.021971941,0.000398397,0.025850534,0.000268221,0.250463247,0.006825209,0.026036024,0.001984835,0.000566006,0.042278051,1.103045702
0.019394159,0.000395775,0.023777723,0.000266552,0.246096611,0.006317377,0.023676395,0.001946926,0.000505447,0.04070878,1.123219728
0.022133112,0.000396967,0.023221016,0.000268936,0.248242617,0.006326199,0.023811579,0.001973867,0.000481606,0.048062086,1.107503176
0.026033163,0.000503063,0.031044245,0.000341415,0.274784565,0.006313324,0.025259256,0.001824617,0.00047946,0.034842014,1.107381344
0.026319504,0.000490427,0.027865171,0.000371218,0.27697587,0.006471395,0.024948359,0.0019207,0.00052762,0.041493893,1.147786379
0.026066303,0.00052762,0.028571129,0.000344038,0.273880243,0.00626421,0.024036884,0.001904964,0.000477791,0.042385817,1.114755869
0.021664858,0.000397921,0.021830559,0.000265121,0.245542765,0.006325722,0.023106337,0.001896381,0.000463009,0.041206121,1.121338129
0.021209955,0.00039053,0.022311449,0.000292063,0.241782665,0.005976439,0.022087336,0.001826525,0.000469923,0.034149647,1.100525141
0.025920868,0.000496864,0.031876326,0.000340223,0.252257824,0.006107569,0.023696184,0.001815319,0.000467777,0.045935392,1.077161551
0.020666599,0.000390291,0.022705317,0.00025773,0.234797478,0.006116867,0.022948265,0.001764774,0.000476599,0.038053751,1.112150431
0.021178722,0.000380278,0.024094343,0.000260353,0.234781742,0.006091595,0.024150848,0.001777411,0.000462532,0.044574976,1.109568119
0.020175695,0.000383139,0.023272038,0.000262499,0.2348876,0.006514072,0.023667812,0.002035141,0.000544071,0.038291454,1.101927519
0.022030592,0.000399351,0.022443295,0.000260353,0.237874269,0.006157637,0.024193764,0.001765013,0.000463724,0.038119078,1.106659174
